weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
-0.03346865	0.08180562	0.0	0.49779952	0.4926158	0.5126836	0.5
3.1582427	3.2735171	-0.108568095	0.9826434	0.8778458	0.8753331	0.46828538
6.289412	6.3786683	-1.744149	0.9949817	0.8896005	0.905329	0.24118155
6.759104	6.840716	-4.1795335	0.99771994	0.7807695	0.8026178	0.06098176
6.9419646	7.015024	-6.3627806	0.9967177	0.5615644	0.57491755	0.012142646
6.9999213	7.0626845	-7.781103	0.9929461	0.40087554	0.40604398	0.004213147
7.012957	7.066071	-8.545818	0.9912659	0.2683041	0.27033243	0.0020731566
7.022136	7.067358	-9.049523	0.98982584	0.1748188	0.17701252	0.0011737563
7.0293884	7.0682807	-9.376325	0.988409	0.12275368	0.12492517	0.00073816
7.035248	7.068942	-9.575488	0.98722625	0.09582568	0.09760264	0.00049341103
7.0400634	7.0694	-9.679947	0.9866467	0.08225924	0.083636865	0.00034561244
7.0441265	7.0696387	-9.742494	0.98632216	0.07481963	0.07593532	0.00025689937
7.0474553	7.069852	-9.783021	0.9860992	0.070547305	0.071513385	0.00020276397
7.0503197	7.069901	-9.803974	0.9860106	0.068365596	0.06921604	0.0001670726
7.0526967	7.069947	-9.801067	0.98614496	0.06809559	0.0688722	0.00014463087
7.0547466	7.0699086	-9.762339	0.9867004	0.07011666	0.07087087	0.00013110426
7.0564623	7.069863	-9.680393	0.98773354	0.07504638	0.075796455	0.00012462371
7.0578957	7.069831	-9.562968	0.9890605	0.082928695	0.08369215	0.00012439903
7.0591497	7.0697412	-9.422249	0.99047524	0.09342426	0.094232224	0.00012895252
7.060169	7.0697093	-9.26807	0.9918203	0.10645427	0.10729422	0.00013808874
7.0610437	7.06966	-9.109881	0.99301726	0.12149116	0.12237105	0.00015093779
7.061765	7.0696406	-8.951887	0.99404114	0.13841784	0.13932711	0.0001673624
7.0624013	7.069598	-8.798399	0.9948989	0.15672901	0.15767668	0.00018683804
7.0629334	7.0695744	-8.654078	0.9955952	0.17577834	0.17675218	0.00020868027
7.0633984	7.069547	-8.51941	0.99616086	0.19520345	0.19620256	0.00023248521
7.063784	7.0695424	-8.394016	0.99662375	0.21474947	0.21575889	0.0002579394
7.064113	7.06954	-8.278819	0.99700093	0.23396987	0.23498136	0.00028443933
7.0643926	7.069551	-8.173965	0.9973082	0.25252774	0.2535353	0.00031143814
7.064642	7.0695543	-8.079108	0.9975592	0.2701642	0.27116716	0.00033838034
7.064867	7.0695553	-7.992566	0.9977684	0.2869545	0.28795147	0.00036529094
7.065064	7.0695643	-7.914145	0.9979427	0.30275002	0.30373847	0.0003918323
7.0652523	7.069576	-7.8437862	0.9980873	0.31736034	0.31834033	0.00041749806
7.065416	7.0695863	-7.7801857	0.9982096	0.33090514	0.33187434	0.00044218957
7.065569	7.069608	-7.722916	0.9983133	0.34337017	0.34432662	0.00046576024
7.065706	7.0696263	-7.6718574	0.99840075	0.35469002	0.3556336	0.00048785002
7.0658402	7.069645	-7.625466	0.9984762	0.36514577	0.36607623	0.00050894916
7.065962	7.0696635	-7.5830216	0.9985422	0.37484604	0.3757628	0.00052913127
7.0660777	7.0696917	-7.545188	0.99859893	0.38359168	0.3844941	0.0005478132
7.0661926	7.069724	-7.510413	0.9986487	0.39170873	0.39259747	0.0005655828
7.0663033	7.0697613	-7.479529	0.9986921	0.39897603	0.39985144	0.0005817994
7.0664124	7.069798	-7.45091	0.9987305	0.40576404	0.40662616	0.0005973339
7.066509	7.0698333	-7.425001	0.99876463	0.41194606	0.4127951	0.00061168254
7.066605	7.0698676	-7.4011316	0.9987954	0.4176741	0.41851017	0.00062526314
7.0667067	7.0699077	-7.379411	0.9988224	0.4229126	0.4237367	0.0006378511
7.0668044	7.069951	-7.359528	0.99884725	0.42772916	0.42854142	0.00064960093
7.0668964	7.0699883	-7.341232	0.9988691	0.43218032	0.43298045	0.00066060724
7.066995	7.0700316	-7.324417	0.9988889	0.43628502	0.43707386	0.0006709185
7.0670953	7.070077	-7.309164	0.9989068	0.4400223	0.44079944	0.00068040757
7.0671825	7.0701156	-7.294808	0.9989231	0.44354808	0.44431356	0.00068944483
7.0672755	7.0701594	-7.2813044	0.9989388	0.4468741	0.44762757	0.00069805625
7.067367	7.0702014	-7.268902	0.9989526	0.44993445	0.4506772	0.00070602476
7.0674596	7.070242	-7.2575307	0.9989651	0.45274913	0.45348042	0.00071345986
