weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
7.0819135	7.0601983	-6.26557	0.9996204	0.6934586	0.68882334	0.001897037
9.215536	3.6946077	-4.5397487	0.9995315	0.9814309	0.34828404	0.017179023
9.89038	-0.70482844	-2.615386	0.9911085	0.99866325	0.09016647	0.11495403
9.579946	-2.6664605	-1.639673	0.9790279	0.9989832	0.04610488	0.2497168
9.413807	-2.894228	-1.221459	0.98718894	0.9994562	0.06997104	0.28105038
9.453593	-2.7177887	-1.5351452	0.9788754	0.9994457	0.06552122	0.19995469
9.682092	-2.205882	-2.0925121	0.98996323	0.999319	0.0430357	0.12761101
9.793905	-1.4917904	-2.596693	0.9883208	0.99837685	0.065681174	0.09101484
9.852544	-1.0572509	-3.0937066	0.9919352	0.99804604	0.054834787	0.05988818
9.919847	-0.80862725	-3.5262911	0.9938562	0.99718446	0.028377712	0.036298346
9.940118	-0.63875794	-3.8575127	0.9886366	0.99580187	0.024368769	0.03073343
9.961531	-0.38016212	-4.012987	0.9947082	0.9963987	0.024689216	0.024477584
9.9622965	-0.1469863	-4.062006	0.9959904	0.9966999	0.030333295	0.022161847
9.968698	-0.012099326	-4.1290755	0.9961888	0.9966278	0.030178206	0.021664863
9.976712	0.069992416	-4.1834536	0.9956567	0.9964523	0.025769286	0.01784169
9.983813	0.10981958	-4.2365046	0.99667925	0.99653536	0.018166574	0.015198059
9.986598	0.12736805	-4.264348	0.9943592	0.9962088	0.017306462	0.014730806
9.991716	0.13978909	-4.263192	0.9970439	0.99659723	0.016621737	0.014424853
9.990255	0.14195073	-4.2491555	0.9970237	0.99667823	0.021175243	0.014773506
9.991286	0.12341836	-4.2427135	0.99698496	0.9967092	0.023291897	0.015523459
9.99547	0.09128146	-4.2464952	0.99697703	0.9967517	0.018005459	0.014623127
9.9978695	0.06458611	-4.249312	0.9969844	0.9967901	0.015233498	0.014214508
9.998251	0.042558383	-4.251412	0.99684733	0.99677956	0.014882676	0.014177739
9.998338	0.03434789	-4.242674	0.99667925	0.9967813	0.0149522945	0.014314849
9.998716	0.031820413	-4.23329	0.9968014	0.99683106	0.015002698	0.014411632
9.999219	0.02563436	-4.2197304	0.996931	0.9968952	0.015013229	0.014568242
9.9995575	0.01232033	-4.2126675	0.99696136	0.99693114	0.014841776	0.014636458
9.999668	0.01202663	-4.201642	0.9970025	0.9969694	0.014970547	0.014779073
9.999701	0.016875949	-4.1942415	0.99703866	0.99699324	0.01515576	0.014879408
9.999699	0.016003275	-4.1849523	0.99706095	0.99702156	0.015298947	0.0150157185
9.999746	0.010305399	-4.1873994	0.9970382	0.99701494	0.015173907	0.014976587
9.999797	0.011326037	-4.1830697	0.99705637	0.99702865	0.015239248	0.015036494
9.999818	0.0038027952	-4.1859746	0.9970266	0.99702036	0.015078639	0.014991877
9.999825	-0.0028083848	-4.191373	0.9969889	0.9970044	0.014905132	0.014912268
9.999849	-0.0058253435	-4.1948204	0.99697167	0.9969948	0.014799889	0.014859145
9.999881	-0.0023582564	-4.194402	0.99698496	0.9969961	0.01484864	0.01486428
9.999887	-0.0030496703	-4.1939135	0.99698466	0.99699783	0.014846143	0.014870879
9.999853	-0.0017531528	-4.1926584	0.99698806	0.9970006	0.014903061	0.014893188
9.999888	0.0006528076	-4.1914372	0.9970019	0.99700487	0.014943643	0.014907747
9.99989	0.007210255	-4.1884794	0.9970292	0.9970137	0.015086315	0.01495194
9.999896	0.0069613997	-4.1876287	0.9970322	0.9970167	0.015091292	0.014962967
9.999881	0.0057360553	-4.1883717	0.9970256	0.9970147	0.015064671	0.014951859
9.999868	-0.002121077	-4.1921	0.996989	0.997003	0.014903489	0.014898448
9.999878	-0.002215747	-4.1904845	0.9969945	0.99700797	0.014920268	0.01492132
9.999904	-0.0037728902	-4.1916924	0.99698806	0.9970049	0.014872224	0.014902451
9.999872	0.0016347659	-4.186147	0.99701864	0.9970209	0.015044261	0.014984951
9.999859	0.0023897619	-4.1870494	0.99701726	0.99701804	0.015046928	0.014972027
9.999889	-3.3411384e-06	-4.188916	0.9970066	0.9970129	0.014974658	0.014943213
9.999882	-0.0027376849	-4.190326	0.996994	0.9970088	0.014914602	0.014922663
9.999869	-0.006567268	-4.193102	0.9969728	0.9970002	0.014822088	0.0148826465
9.999903	-0.001843099	-4.189038	0.99700165	0.9970128	0.0149407685	0.01494042
9.999906	0.0031001652	-4.181293	0.99704	0.9970357	0.0151256705	0.015054761
9.999868	0.0034630718	-4.1798735	0.9970411	0.99703926	0.015170671	0.015079689
9.999871	0.004151387	-4.181119	0.9970411	0.99703574	0.015154477	0.015058785
9.999859	-0.0011436201	-4.1844063	0.9970157	0.99702615	0.015028801	0.015009389
9.999885	-0.005618951	-4.18596	0.99699783	0.9970216	0.014936925	0.014987699
9.99989	-0.006104896	-4.1931005	0.99697554	0.99700046	0.01482254	0.01488236
9.999887	-1.9163936e-05	-4.1898212	0.9970035	0.9970102	0.014960944	0.014930439
9.999862	-0.001461995	-4.1915603	0.99699235	0.9970047	0.0149218105	0.014905133
9.999882	-0.0014478196	-4.193564	0.9969864	0.99699885	0.014892428	0.0148770185
9.999862	0.00017579645	-4.1923485	0.99699557	0.9970021	0.014933307	0.014893861
9.999867	0.004627033	-4.1909437	0.99701345	0.997007	0.015015939	0.01491322
9.999864	0.005609637	-4.190896	0.99701655	0.997007	0.015031809	0.014913392
9.999881	0.0084154615	-4.1881227	0.99703336	0.99701506	0.015111966	0.014955518
9.999896	0.004780512	-4.185583	0.99703085	0.99702287	0.015093622	0.01499343
9.999908	-0.0040960466	-4.191446	0.9969881	0.99700564	0.014870074	0.014905309
9.99988	-0.00700724	-4.192409	0.9969749	0.99700254	0.0148224095	0.01489223
9.999846	-0.0060907863	-4.192005	0.9969758	0.9970032	0.014853383	0.014901104
9.999914	-0.003545231	-4.1864696	0.9970049	0.99702	0.014949491	0.01497938
9.999854	-0.006116351	-4.1900015	0.9969839	0.99701	0.014871496	0.014926543
9.999877	0.005425807	-4.183478	0.99703795	0.9970291	0.015137834	0.015023839
9.999894	0.013005766	-4.1783857	0.99707675	0.9970439	0.015320083	0.01509844
9.9999075	0.004470268	-4.1859164	0.9970298	0.99702185	0.015079332	0.014987533
9.999896	-0.0067010927	-4.192873	0.9969753	0.9970013	0.0148143	0.014885274
9.999891	-0.0059329798	-4.192339	0.9969791	0.9970025	0.014833784	0.014893088
9.999911	-0.008257222	-4.1971083	0.9969581	0.99698853	0.0147292875	0.014824344
9.9998665	-0.0011106018	-4.1907945	0.99699676	0.9970072	0.01493379	0.014916249
9.999892	-0.0011247091	-4.191261	0.99699676	0.9970058	0.0149205495	0.01490933
9.999866	0.008024538	-4.1891356	0.99702865	0.997012	0.015094632	0.01494076
9.999848	0.007679635	-4.184257	0.99704087	0.99702644	0.015168342	0.015013649
9.99986	0.008139524	-4.1854477	0.99703825	0.9970226	0.015158352	0.014997249
9.999886	-0.00028981784	-4.187101	0.99701035	0.99701804	0.015000094	0.014971487
9.999857	-0.0072903056	-4.1922026	0.9969731	0.9970027	0.014826859	0.014896456
9.999857	-0.0024978106	-4.1882644	0.9969995	0.9970147	0.014954584	0.014953963
9.999845	-0.0053921896	-4.193155	0.9969754	0.9969998	0.014843144	0.0148820095
9.999859	-0.00025784248	-4.190039	0.997	0.9970088	0.014965399	0.0149291335
9.99985	-0.006351446	-4.1959395	0.9969652	0.99699163	0.0147848595	0.01484062
9.999867	0.003258185	-4.192831	0.99700326	0.99700093	0.014970243	0.014886937
9.99986	0.007363143	-4.1904736	0.9970224	0.99700785	0.015068224	0.014920874
9.999858	0.0039765052	-4.1911564	0.99700946	0.9970058	0.015012008	0.014912181
9.999842	0.007301703	-4.186671	0.9970301	0.99701846	0.015139008	0.014980824
9.999862	0.00014242077	-4.1876554	0.9970092	0.99701643	0.015002254	0.01496276
9.999875	-0.0033842397	-4.1894164	0.9969951	0.9970115	0.014916215	0.014935332
9.999884	0.004026481	-4.189836	0.9970159	0.9970103	0.015020659	0.014930271
9.999877	0.0016069157	-4.1889253	0.9970106	0.99701285	0.015001306	0.014944405
9.999861	0.0021744445	-4.1862307	0.9970197	0.9970209	0.015052566	0.014984216
9.999864	-0.00015479056	-4.1908183	0.9969986	0.99700683	0.014952562	0.014916932
9.999877	-0.002173143	-4.192037	0.9969891	0.99700296	0.014904508	0.014900347
9.999905	-0.0035580688	-4.190103	0.9969938	0.99700975	0.014897963	0.014925121
9.999864	0.0073960256	-4.187052	0.99703217	0.997018	0.015121359	0.014972874
9.999835	0.005994575	-4.190383	0.997015	0.99700767	0.015063031	0.014925327
