weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
7.073382	7.0687466	-7.0710626	0.99915254	0.50057954	0.49942046	0.0008485913
9.424311	3.1009128	-6.813391	0.9937983	0.90403056	0.055422634	0.0016379962
9.918397	-0.9552007	-6.252503	0.86174875	0.9595441	0.0021690927	0.003442291
9.870318	-1.4915652	-4.654936	0.95116836	0.9889341	0.0050129914	0.022513736
9.839832	-1.070499	-3.0343025	0.99058664	0.99788904	0.07728002	0.07558565
9.824827	-1.3054225	-2.7932198	0.9930207	0.9989291	0.0406724	0.06621335
9.787849	-1.733398	-3.4174688	0.964943	0.9962095	0.0137638785	0.039578903
9.812481	-1.7465726	-3.9190028	0.9629773	0.994516	0.006597724	0.025616493
9.860146	-1.5233788	-4.2211533	0.9765614	0.9950969	0.0047543542	0.017862849
9.902323	-1.1959375	-4.3669214	0.9833104	0.99546236	0.006180903	0.014097308
9.934033	-0.8784521	-4.442681	0.9871572	0.99549836	0.010951538	0.012901673
9.96079	-0.6386627	-4.5221667	0.9900212	0.9954491	0.008349	0.011345041
9.978131	-0.45221215	-4.5977316	0.9918817	0.9953038	0.007413868	0.010209498
9.987254	-0.3235857	-4.6801805	0.99253464	0.9949445	0.007289976	0.009385352
9.992358	-0.23750782	-4.759015	0.9925798	0.9945052	0.0071560377	0.008708013
9.995372	-0.18254858	-4.831625	0.9926069	0.9941093	0.006918354	0.008108725
9.997361	-0.13749187	-4.891858	0.99278045	0.9938223	0.0066954666	0.0076018786
9.998427	-0.10768491	-4.9413114	0.9928303	0.9935817	0.0064754663	0.0071915854
9.99909	-0.08265659	-4.975035	0.9928539	0.9934038	0.0063656294	0.0069235438
9.999389	-0.056725334	-4.9928236	0.9929258	0.9933095	0.0064080697	0.006782854
9.999482	-0.040746294	-5.0035887	0.9929617	0.9932505	0.0064458037	0.006699275
9.999583	-0.02401075	-5.0050263	0.99306494	0.9932483	0.006547668	0.006683111
9.999692	-0.0070918202	-5.002123	0.99320847	0.9932752	0.0066687316	0.0066952175
9.999762	0.002501575	-4.9984646	0.9933084	0.9933069	0.006744526	0.0067123147
9.999803	0.00977516	-4.996236	0.9933754	0.9933242	0.0068041123	0.006724633
9.999846	0.006002766	-5.00247	0.9933093	0.99328333	0.006737022	0.0066824197
9.999875	0.012574109	-4.9980507	0.9933846	0.9933142	0.0068082213	0.0067112697
9.999911	0.014052933	-4.9959145	0.993412	0.99332845	0.006829079	0.0067253266
9.999921	0.01452056	-4.9969378	0.9934084	0.9933215	0.006825085	0.0067188754
9.999937	0.007823234	-5.002553	0.9933305	0.99328566	0.006739417	0.0066797463
9.999945	0.006248559	-5.0051684	0.993303	0.99326813	0.006711179	0.006662637
9.999929	0.0020619945	-5.010189	0.9932383	0.99323463	0.006652981	0.0066293995
9.999934	-0.00315623	-5.010833	0.9931977	0.9932299	0.006615437	0.0066255443
9.999944	0.0043633236	-5.0052166	0.9932863	0.993267	0.006701926	0.00666327
9.999945	0.0028869954	-5.0022902	0.99329764	0.99328727	0.006709907	0.0066818204
9.99994	0.0044359346	-4.9992123	0.99332833	0.9933084	0.0067409785	0.006701855
9.999937	0.0033876183	-4.9967437	0.9933351	0.99332345	0.0067532873	0.0067193937
9.99992	-0.00080952054	-5.0002236	0.9932809	0.99329966	0.0067052585	0.006696819
9.99995	0.00087661983	-5.002806	0.9932831	0.99328446	0.006691079	0.006677727
9.999951	0.0007510507	-5.0033703	0.9932785	0.99328095	0.0066869366	0.0066741244
9.999946	0.0033703304	-4.9997187	0.99331737	0.993304	0.0067309095	0.0066990936
9.999947	0.0024757527	-4.9962263	0.9933354	0.9933279	0.0067473482	0.0067219515
9.999951	0.0042482056	-4.994153	0.99336076	0.9933415	0.0067731403	0.006736014
9.999959	0.0029688347	-4.9943633	0.9933516	0.9933398	0.0067625893	0.0067350613
9.99995	6.3491556e-05	-5.0001955	0.9932938	0.99330163	0.0067036794	0.006695286
9.99995	-0.0065510734	-5.007775	0.993199	0.9932508	0.0066100364	0.0066451766
9.999943	-0.011814249	-5.011737	0.993136	0.9932244	0.0065497793	0.0066190897
9.999927	-0.006247822	-5.0078473	0.9931973	0.99325025	0.0066139353	0.006644794
9.999939	0.0002453837	-4.998518	0.9933052	0.99331284	0.00671777	0.0067066196
9.999943	0.0022137144	-4.995126	0.99334013	0.99333495	0.0067541613	0.006729811
9.999947	0.0026632538	-4.993591	0.99335337	0.9933453	0.0067668064	0.006739866
9.999924	0.0029601506	-4.9964323	0.9933332	0.9933257	0.006753472	0.0067212046
9.999925	-0.0020676295	-5.002006	0.99326247	0.9932886	0.006682956	0.006684133
9.999943	-0.0029965702	-5.00342	0.99325097	0.99328035	0.0066633876	0.00667384
9.9999485	-0.005002966	-5.0044093	0.99323326	0.9932744	0.0066410797	0.0066667767
9.999921	0.0031975275	-4.9997964	0.9933121	0.99330366	0.0067326296	0.0066987127
9.999914	0.011674187	-4.994394	0.9934021	0.99333817	0.00682746	0.006735676
9.999929	0.0060042236	-4.997926	0.9933455	0.9933159	0.00676194	0.006711105
9.999942	0.00045035584	-5.0024333	0.9932801	0.99328643	0.006693088	0.0066808118
9.999931	-0.0011627551	-5.0040946	0.99325615	0.99327517	0.006673277	0.0066699614
9.999928	-0.0015473692	-5.0032063	0.9932572	0.9932798	0.0066789365	0.006676948
9.999933	0.0015413377	-4.999945	0.99330187	0.99330246	0.0067190463	0.0066976403
9.999922	0.0064901896	-4.9952397	0.9933644	0.99333346	0.0067853373	0.0067295553
9.999943	0.0064466195	-4.991339	0.9933937	0.99335974	0.006807264	0.006755031
9.99995	0.00035780043	-4.9984508	0.99330825	0.9933136	0.0067170262	0.006706744
9.999938	-0.00960288	-5.006052	0.9931884	0.99326223	0.0066023637	0.0066568507
9.999933	-0.0054852944	-5.0023646	0.9932387	0.99328595	0.006656525	0.0066820444
9.999935	-0.0028242085	-4.999582	0.99327433	0.9933042	0.0066927862	0.006700853
9.999947	0.0037797133	-4.9961486	0.99334544	0.9933287	0.006755624	0.0067222035
9.999945	0.0050694477	-4.9940124	0.99336845	0.99334335	0.006778223	0.0067359633
9.9999275	-0.0016275763	-4.9960804	0.9933046	0.9933276	0.0067257746	0.006724074
9.999929	0.0014072517	-4.996541	0.9933224	0.993325	0.0067419466	0.006720703
9.9999485	-0.0011956826	-4.9968395	0.9933073	0.99332374	0.006718729	0.0067180633
9.999935	0.0023663412	-4.999922	0.99330693	0.9933021	0.006725031	0.0066985893
9.9999275	0.003001333	-5.0002236	0.99331063	0.9933009	0.006725513	0.006695398
9.999942	-0.0012673689	-5.002381	0.9932686	0.9932867	0.00668203	0.0066813813
9.999929	-0.0012513605	-4.999435	0.99328536	0.993305	0.0067050136	0.006701795
9.999922	-0.0030748576	-4.9997606	0.99326974	0.99330306	0.0066918447	0.006699786
9.999925	-0.00050472916	-4.9981904	0.99329805	0.9933136	0.0067187455	0.006710031
9.999938	-0.0047930367	-5.002142	0.99324524	0.99328756	0.0066617215	0.006683352
9.999931	-0.005059731	-5.0057	0.9932202	0.9932643	0.006636268	0.0066595282
9.999931	-0.0019205257	-5.0025463	0.99325895	0.99328375	0.00668154	0.006682056
