weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
-0.00985217	0.0012173771	0.0	0.4959244	0.4978013	0.4984044	0.5
0.9613981	0.9724675	0.62183356	0.8982525	0.7908891	0.7943543	0.6421746
2.197585	2.2086563	1.2259132	0.9902392	0.9354847	0.9350461	0.742671
3.2345755	3.2456458	1.4360191	0.9962229	0.9599649	0.96095854	0.7570769
4.0821476	4.093154	1.2900165	0.9976807	0.9652874	0.9669029	0.7216517
4.735664	4.7452397	0.88061136	0.99824524	0.96446174	0.9664592	0.6471967
5.2029815	5.209235	0.28455058	0.99854743	0.9604639	0.9624868	0.5368373
5.5164337	5.519314	-0.4223495	0.9987246	0.95385313	0.9558617	0.400713
5.7279205	5.7283106	-1.1614017	0.9988205	0.9447036	0.946498	0.264431
5.8821006	5.8809543	-1.8629084	0.99889094	0.933764	0.935182	0.15875003
5.998923	5.996546	-2.4958878	0.9989331	0.92066264	0.9215969	0.09247068
6.089147	6.0859056	-3.0462584	0.9989622	0.905463	0.9058532	0.055355955
6.1603103	6.156427	-3.512338	0.9989856	0.8881838	0.8881012	0.034780454
6.21811	6.2138124	-3.9026437	0.99900335	0.8690487	0.86860424	0.022973085
6.265941	6.2613134	-4.2265196	0.9990229	0.84861183	0.84797096	0.016414622
6.306032	6.3011975	-4.4938626	0.9990428	0.8277349	0.82702094	0.01271555
6.34039	6.335402	-4.713813	0.9990611	0.8073983	0.8066758	0.010459606
6.3703046	6.365231	-4.894526	0.99908024	0.78833187	0.78764105	0.008978941
6.3964577	6.391347	-5.042928	0.99909955	0.77106744	0.77039456	0.007949758
6.419511	6.414358	-5.1646743	0.9991169	0.7558822	0.755227	0.0072086346
6.4399753	6.4348	-5.2646723	0.9991347	0.74281955	0.74217206	0.006655228
6.4583883	6.4531803	-5.346679	0.9991517	0.73185694	0.7312	0.0062353592
6.475146	6.469917	-5.4138265	0.99916977	0.72286385	0.7221754	0.0059113964
6.490314	6.485064	-5.469207	0.99918675	0.7154823	0.7147776	0.005653224
6.5042806	6.4990044	-5.514675	0.9992029	0.70958745	0.7088525	0.0054473197
6.5171437	6.51186	-5.55217	0.99921757	0.7049134	0.704147	0.005279763
6.5290084	6.5237184	-5.583193	0.9992342	0.7012281	0.70045066	0.0051414226
6.5400276	6.534724	-5.608931	0.9992489	0.6983755	0.697585	0.0050251014
6.55035	6.5450363	-5.6302457	0.99926305	0.69622624	0.69542587	0.0049279253
6.5599856	6.5546846	-5.648134	0.99927664	0.69461244	0.6937997	0.004843705
6.569094	6.563791	-5.663126	0.9992901	0.6934472	0.6926382	0.004770616
